,0,1
0,the,fulton
1,fulton,county
2,county,grand
3,grand,jury
4,jury,say
5,say,friday
6,friday,an
7,an,investigation
8,investigation,of
9,of,atlanta's
10,atlanta's,recent
11,recent,primary
12,primary,election
13,election,produce
14,produce,``
15,``,no
16,no,evidence
17,evidence,''
18,'',that
19,that,any
20,any,irregularity
21,irregularity,take
22,take,place
23,place,.
24,the,jury
25,jury,further
26,further,say
27,say,in
28,in,term-end
29,term-end,presentment
30,presentment,that
31,that,the
32,the,city
33,city,executive
34,executive,committee
35,committee,","
36,",",which
37,which,have
38,have,over-all
39,over-all,charge
40,charge,of
41,of,the
42,the,election
43,election,","
44,",",``
45,``,deserve
46,deserve,the
47,the,praise
48,praise,and
49,and,thanks
50,thanks,of
51,of,the
52,the,city
53,city,of
54,of,atlanta
55,atlanta,''
56,'',for
57,for,the
58,the,manner
59,manner,in
60,in,which
61,which,the
62,the,election
63,election,wa
64,wa,conduct
65,conduct,.
66,the,september-october
67,september-october,term
68,term,jury
69,jury,have
70,have,be
71,be,charge
72,charge,by
73,by,fulton
74,fulton,superior
75,superior,court
76,court,judge
77,judge,durwood
78,durwood,pye
79,pye,to
80,to,investigate
81,investigate,report
82,report,of
83,of,possible
84,possible,``
85,``,irregularity
86,irregularity,''
87,'',in
88,in,the
89,the,hard-fought
90,hard-fought,primary
91,primary,which
92,which,wa
93,wa,won
94,won,by
95,by,mayor-nominate
96,mayor-nominate,ivan
97,ivan,allen
98,allen,jr.
99,jr.,.
100,``,only
101,only,a
102,a,relative
103,relative,handful
104,handful,of
105,of,such
106,such,report
107,report,wa
108,wa,receive
109,receive,''
110,'',","
111,",",the
112,the,jury
113,jury,say
114,say,","
115,",",``
116,``,consider
117,consider,the
118,the,widespread
119,widespread,interest
120,interest,in
121,in,the
122,the,election
123,election,","
124,",",the
125,the,number
126,number,of
127,of,voter
128,voter,and
129,and,the
130,the,size
131,size,of
132,of,this
133,this,city
134,city,''
135,'',.
136,the,jury
137,jury,say
138,say,it
139,it,do
140,do,find
141,find,that
142,that,many
143,many,of
144,of,georgia's
145,georgia's,registration
146,registration,and
147,and,election
148,election,laws
149,laws,``
150,``,are
151,are,outmode
152,outmode,or
153,or,inadequate
154,inadequate,and
155,and,often
156,often,ambiguous
157,ambiguous,''
158,'',.
159,it,recommend
160,recommend,that
161,that,fulton
162,fulton,legislator
163,legislator,act
164,act,``
165,``,to
166,to,have
167,have,these
168,these,laws
169,laws,study
170,study,and
171,and,revise
172,revise,to
173,to,the
174,the,end
175,end,of
176,of,modernize
177,modernize,and
178,and,improve
179,improve,them
180,them,''
181,'',.
182,the,grand
183,grand,jury
184,jury,comment
185,comment,on
186,on,a
187,a,number
188,number,of
189,of,other
190,other,topic
191,topic,","
192,",",among
193,among,them
194,them,the
195,the,atlanta
196,atlanta,and
197,and,fulton
198,fulton,county
199,county,purchasing
200,purchasing,department
201,department,which
202,which,it
203,it,say
204,say,``
205,``,are
206,are,well
207,well,operate
208,operate,and
209,and,follow
210,follow,generally
211,generally,accept
212,accept,practice
213,practice,which
214,which,inure
215,inure,to
216,to,the
